Price,Close,High,Low,Open,Volume
Date,,,,,
1998-06-10,3311.409912109380,3451.169921875,3308.050048828130,3451.169921875,0
1998-06-11,3335.760009765630,3337.1201171875,3207.5400390625,3269.360107421880,0
1998-06-12,3347.409912109380,3416.1201171875,3332.6298828125,3367.489990234380,0
1998-06-15,3152.9599609375,3344.489990234380,3151.22998046875,3344.489990234380,0
1998-06-16,3161.080078125,3171.570068359380,2961.81005859375,3114.590087890630,0
1998-06-17,3400.949951171880,3405.97998046875,3251.81005859375,3291.429931640630,0
1998-06-18,3292.330078125,3434.4599609375,3292.330078125,3416.090087890630,0
1998-06-19,3143.10009765625,3246.18994140625,3130.110107421880,3234.56005859375,0
1998-06-22,3078.510009765630,3097.949951171880,2951.449951171880,3063.14990234375,0
1998-06-23,3037.340087890630,3047.489990234380,2954.860107421880,3041.81005859375,0
1998-06-24,3143.639892578130,3143.639892578130,3041.7900390625,3041.7900390625,0
1998-06-25,3208.5400390625,3249.419921875,3181.110107421880,3197.89990234375,0
1998-06-26,3168.820068359380,3214.419921875,3155.1298828125,3214.419921875,0
1998-06-29,3289.56005859375,3291.179931640630,3171.25,3171.25,0
1998-06-30,3250.68994140625,3305.6298828125,3222.580078125,3305.179931640630,0
1998-07-01,3230.60009765625,3256.429931640630,3153.530029296880,3210.60009765625,0
1998-07-02,3180.72998046875,3229.949951171880,3172.389892578130,3219.97998046875,0
1998-07-03,3089.02001953125,3173.35009765625,3089.02001953125,3173.35009765625,0
1998-07-06,3178.31005859375,3179.6298828125,3111.02001953125,3111.02001953125,0
1998-07-07,3195.93994140625,3241.89990234375,3181.56005859375,3186.85009765625,0
1998-07-08,3245.8798828125,3268.5400390625,3221.919921875,3225.7099609375,0
1998-07-09,3331.97998046875,3347.39990234375,3277.929931640630,3277.929931640630,0
1998-07-10,3401.739990234380,3409.5,3344.090087890630,3375.550048828130,0
1998-07-13,3322.169921875,3461.1201171875,3320.110107421880,3426.830078125,0
